"DEMACRO                                 ","DEL.SEC.GUARULHOS                       ","08º D.P. GUARULHOS            "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","81º D.P. BELEM                "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.BOTUCATU                        ","DEL.POL.LARANJAL PAULISTA     "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","42º D.P.  PARQUE S. LUCAS     "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","DEL.POL.JUQUITIBA             "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","87º D.P. V. P. BARRETO        "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.BARUERI               "
"DECAP                                   ","DEL.SEC.2º SUL                          ","02ª DEL.DEF.MUL. SUL          "
"DEINTER 7 - SOROCABA                    ","DEL.SEC.SOROCABA                        ","DEL.POL.PIEDADE               "
"DEINTER 2 - CAMPINAS                    ","DEL.SEC.JUNDIAI                         ","01º D.P. JUNDIAI              "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.POL.ITAPEVI               "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","DEL.POL.EMBU-GUAÇU            "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","14º D.P. PINHEIROS            "
"DEMACRO                                 ","DEL.SEC.S.BERNARDO DO CAMPO             ","05º D.P. S.BERNARDO DO CAMPO  "
"DEMACRO                                 ","DEL.SEC.S.BERNARDO DO CAMPO             ","01º D.P. S.CAETANO DO SUL     "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","01º D.P. COTIA                "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","34º D.P.  MORUMBI             "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","07º D.P. LAPA                 "
"DECAP                                   ","DEL.SEC.6º SANTO AMARO                  ","92º D.P. P. STO ANTONIO       "
"DEMACRO                                 ","DEL.SEC.GUARULHOS                       ","04º D.P. GUARULHOS            "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","31º D.P.  VILA CARRAO         "
"DECAP                                   ","DEL.SEC.5º LESTE                        ","52º D.P.  PARQUE S.JORGE      "
"DEMACRO                                 ","DEL.SEC.CARAPICUIBA                     ","DEL.DEF.MUL. CARAPICUIBA      "
"DEMACRO                                 ","DEL.SEC.MOGI DAS CRUZES                 ","03º D.P. MOGI DAS CRUZES      "
"DEINTER 6 - SANTOS                      ","DEL.SEC.JACUPIRANGA                     ","DEL.POL.PARIQUERA ACU         "
"DECAP                                   ","DEL.SEC.3º OESTE                        ","03 DEL.DEF.MUL. OESTE         "
"DECAP                                   ","DEL.SEC.6º SANTO AMARO                  ","85º D.P. JARDIM MIRNA         "
"DEMACRO                                 ","DEL.SEC.TABOÃO DA SERRA                 ","01º D.P. TABOÃO DA SERRA      "
"DECAP                                   ","DEL.SEC.2º SUL                          ","35º D.P.  JABAQUARA           "
"DECAP                                   ","DEL.SEC.6º SANTO AMARO                  ","48º D.P.  CIDADE DUTRA        "
